customer_id,Total Orders,Total Order Days,Average Orders Placed,Total Order Value,Average Order Value,Average Order Gap Days,Order Consistency Score
5235,106.0,90.0,1.1777777777777778,1052898.0,9933.0,1.7904761904761906,0.7047501008089389
7622,14.0,12.0,1.1666666666666667,48627.0,3473.3571428571427,4.923076923076923,0.1977311046453023
3827,8.0,8.0,1.0,414750.0,51843.75,18.714285714285715,0.09342463937628699
2223,231.0,142.0,1.6267605633802817,1345798.0,5825.965367965368,0.8304347826086956,1.0432870211666032
6903,52.0,49.0,1.0612244897959184,89588.0,1722.8461538461538,2.392156862745098,0.49247474623098175
2296,18.0,18.0,1.0,74120.0,4117.777777777777,10.235294117647058,0.23053311047582592
7912,10.0,9.0,1.1111111111111112,10532.0,1053.2,7.777777777777778,0.19824518712420564
3310,4.0,4.0,1.0,2309.0,577.25,31.666666666666668,0.04744007277949268
6769,47.0,42.0,1.119047619047619,152845.0,3252.021276595745,2.5652173913043477,0.4954704087490066
3463,21.0,19.0,1.105263157894737,34816.0,1657.904761904762,9.1,0.17565325229072695
5236,65.0,60.0,1.0833333333333333,316984.0,4876.676923076923,2.96875,0.5352027154947507
8539,13.0,8.0,1.625,57208.8,4400.676923076923,2.75,0.3248305743573276
2528,10.0,10.0,1.0,249920.0,24992.0,20.77777777777778,0.11748892946154596
8471,8.0,7.0,1.1428571428571428,124370.0,15546.25,9.142857142857142,0.10436519270057613
5144,23.0,16.0,1.4375,159177.0,6920.739130434783,6.954545454545454,0.0757584030146031
2949,117.0,89.0,1.3146067415730338,3883477.0,33192.11111111111,1.603448275862069,0.5622634215324732
3500,16.0,16.0,1.0,252415.0,15775.9375,10.866666666666667,0.10154448390338183
2301,157.0,157.0,1.0,653734.0,4163.910828025478,1.2243589743589745,0.8448601522277689
3683,30.0,28.0,1.0714285714285714,100144.0,3338.133333333333,6.448275862068965,0.19842240209216833
7731,30.0,27.0,1.1111111111111112,95570.0,3185.6666666666665,2.5517241379310347,0.5946884312520857
195,14.0,14.0,1.0,24284.0,1734.5714285714287,10.23076923076923,0.10007048734801284
